Symbol,Final Weighted Rating,PEG,GPM,ROA,ROE,Gross Profit Growth,Net Income Growth,EPS Growth,Unweighted Rating
ITIC,15.748,0.831,0.981,0.119,0.164,0.149,0.437,0.466,5.0
MTB,15.241,0.834,1.0,0.016,0.123,0.008,0.006,0.079,5.0
UAL,10.66,0.813,1.0,0.057,0.261,0.047,0.413,0.505,5.0
ORLY,9.718,1.351,0.531,0.13,3.501,0.07,0.05,0.111,5.0
OMP,9.576,1.068,0.887,0.102,0.402,0.065,1.351,0.874,5.0
HSC,8.891,1.385,0.797,0.213,0.68,0.273,2.677,2.724,5.0
ABG,8.704,1.171,0.162,0.063,0.285,0.06,0.098,0.154,5.0
LGIH,8.282,1.583,0.237,0.107,0.211,0.149,0.15,0.118,5.0
ALL,7.88,1.183,1.0,0.04,0.186,0.122,1.152,1.355,5.0
VMW,7.767,1.35,0.985,0.244,0.915,0.212,1.647,1.588,5.0
IBKC,7.654,1.452,1.0,0.012,0.089,0.153,0.038,0.072,5.0
CNBKA,7.556,0.805,1.0,0.007,0.119,0.035,0.096,0.094,5.0
VRTS,7.362,0.849,1.0,0.03,0.142,0.02,0.266,0.338,5.0
BIIB,7.174,1.24,0.787,0.175,0.34,0.093,0.745,0.812,5.0
LMT,7.165,1.103,0.14,0.131,1.992,0.15,0.235,0.245,5.0
MTD,7.157,1.63,0.579,0.201,1.333,0.034,0.095,0.123,5.0
ARLP,7.124,1.036,0.949,0.154,0.319,0.038,0.11,0.159,5.0
OSK,7.075,1.591,0.181,0.104,0.223,0.119,0.228,0.287,5.0
LAD,6.976,1.066,0.154,0.045,0.185,0.099,0.022,0.072,5.0
UHS,6.919,1.748,1.0,0.07,0.148,0.056,0.045,0.097,5.0
GWW,6.917,1.409,0.383,0.141,0.458,0.011,0.086,0.114,5.0
JLL,6.823,1.565,1.0,0.039,0.105,0.102,0.105,0.032,5.0
TD,6.81,1.745,1.0,0.008,0.142,0.057,0.06,0.075,5.0
BMO,6.679,1.775,1.0,0.007,0.119,0.018,0.003,0.014,5.0
RS,6.635,1.184,0.303,0.086,0.135,0.015,0.107,0.185,5.0
BNS,6.563,1.23,1.0,0.009,0.131,0.043,0.045,0.036,5.0
RY,6.554,1.186,0.937,0.009,0.155,0.044,0.068,0.088,5.0
GD,6.482,1.292,0.179,0.071,0.257,0.051,0.042,0.067,5.0
TRV,6.449,1.371,0.394,0.024,0.101,0.038,0.039,0.068,5.0
TECD,6.298,1.462,0.062,0.028,0.12,0.019,0.1,0.158,5.0
