Symbol,Final Weighted Rating,GPM,ROA,ROE,Gross Profit Growth,Net Income Growth,EPS Growth,Unweighted Rating
BOH,2785.3408322395876,0.0,0.012484487852667868,0.1755574931304164,0.0,0.0287383539312,0.0627376425856,5
HEES,1775.660314676437,0.35395302999852296,0.04436304012144645,0.29837268256211963,0.218461384576,-0.301254810411,-0.304207119741,5
SYBT,1116.9915585608144,0.0,0.016808440036767423,0.1514788540245566,0.0,0.459322345767,0.449704142012,5
PPC,610.2885780423059,0.09381834111519816,0.0641932742393941,0.18051656139397854,0.269027215949,0.838811026639,0.83,5
INTL,573.4620956670104,0.033623126728881056,0.008564728615855315,0.14321777179400874,0.133531461365,0.533333333333,0.554006968641,5
QURE,536.4147108909606,0.7728334020052191,-0.2768450616320799,-0.38445418469748466,-0.441876611783,0.490936809757,1328.05982906,4
PUB,518.0469549756449,0.0,0.01841972062066197,0.1333606128257743,0.0,0.0908643433747,0.0779816513761,4
WSBC,412.1127954765144,0.0,0.010106352931836617,0.0612482030100377,0.0,0.11013052714,-0.0341296928328,4
OKE,396.37778762101266,0.33217287411995255,0.0586177291057573,0.2053625221271417,0.0649234439619,0.110162081717,0.103571428571,5
STC,378.92654792654906,0.9564831691415705,0.04935694396921116,0.10519787075174025,0.0105802441838,0.654251625529,0.648514851485,4
LNC,377.0525425278739,0.5868241597661958,0.005503996350793401,0.11435540069686412,0.0594701549962,-0.210678210678,-0.188034188034,4
SID,332.28832745203044,0.2988054491979052,0.10721321487259917,0.5830507306036724,0.1884,420.5359,395.7917,5
EHTH,242.88130318887508,0.9945910814083734,0.09018869145697203,0.1268808188723054,1.01250764489,276.539419087,289.0,4
CTMX,224.72329873542319,0.0,-0.29957044321118603,-2.000234773932268,0.0,0.208429861472,0.113300492611,4
CRSP,186.53177028249942,1.0,0.06267436105111591,0.07116906618410197,91.6984635083,-1.40524666477,-1.35755813953,3
GSBD,167.72319182424974,0.7958236500807601,0.038424425330141676,0.07561431879778896,0.0998,0.0834,0.0469,5
RRD,167.0817468717673,0.1897485739778847,-0.027987147533107114,0.24289809747198332,-0.0513780468377,7.47272727273,7.1875,3
AGTC,164.38627817992466,0.0,-0.021753274919753623,-0.025486284922944007,0.0,-0.905821596244,-0.906779661017,4
