Symbol,Final Weighted Rating,DCF/P,PEG,Dividend Payout Ratio,P/FV,Unweighted Rating
HDB,4.042,5.133,0.065,0.079,0.319,5.0
AEL,2.727,2.326,2.171,0.01,0.588,5.0
ADS,2.686,3.087,0.992,0.024,3.343,5.0
TSC,2.55,2.467,5.707,0.009,1.08,5.0
BANF,2.542,2.675,3.693,0.021,1.911,5.0
OFG,2.462,2.407,12.357,0.013,1.046,5.0
CADE,2.454,2.09,7.968,0.043,0.843,5.0
WBK,2.451,1.951,3.84,0.076,0.999,5.0
ICBK,2.442,1.945,4.659,0.008,0.941,5.0
UNTY,2.441,2.269,4.995,0.014,1.485,5.0
DK,2.438,1.904,1.876,0.033,1.424,5.0
MRLN,2.436,2.088,4.632,0.026,1.206,5.0
IBKC,2.429,1.46,1.417,0.024,0.879,5.0
BFIN,2.415,2.382,14.274,0.03,1.185,5.0
EWBC,2.411,1.792,2.034,0.023,1.322,5.0
GEF,2.4,1.117,0.709,0.107,0.856,5.0
OVLY,2.394,2.195,8.261,0.015,1.305,5.0
CTO,2.393,1.032,0.364,0.007,1.09,5.0
NAVI,2.389,1.659,3.154,0.045,0.969,5.0
SAR,2.385,1.718,4.005,0.069,0.961,5.0
BHLB,2.381,1.852,7.408,0.029,0.881,5.0
MSBI,2.381,1.96,7.525,0.035,1.029,5.0
CVLY,2.38,1.937,5.841,0.028,1.129,5.0
RBCAA,2.379,1.604,2.24,0.025,1.112,5.0
HTBK,2.379,2.246,18.92,0.039,1.005,5.0
TSBK,2.373,1.863,4.316,0.031,1.218,5.0
OPY,2.371,1.29,3.086,0.016,0.617,5.0
UMBF,2.36,1.745,3.318,0.018,1.243,5.0
FSFG,2.357,1.472,1.805,0.011,1.135,5.0
SMBK,2.351,1.91,9.132,0.002,1.006,5.0
CCBG,2.349,2.192,10.043,0.017,1.479,5.0
CNBKA,2.337,1.01,0.794,0.007,0.944,5.0
DXC,2.333,1.723,2.354,0.011,1.637,5.0
BOKF,2.33,1.43,1.857,0.025,1.205,5.0
HRTG,2.329,1.912,14.85,0.018,0.881,5.0
TOL,2.328,1.405,1.918,0.011,1.151,5.0
MPB,2.321,1.836,10.458,0.029,0.974,5.0
SHBI,2.321,1.762,6.639,0.025,1.096,5.0
PACW,2.321,1.283,2.401,0.066,0.888,5.0
ACNB,2.317,1.635,3.365,0.028,1.297,5.0
UMPQ,2.311,1.559,7.006,0.052,0.825,5.0
FCBC,2.301,1.625,5.282,0.032,1.107,5.0
CBFV,2.296,1.765,8.796,0.032,1.082,5.0
VRTS,2.289,1.004,0.784,0.021,1.203,5.0
RMR,2.284,1.766,1.701,0.03,2.616,5.0
FBIZ,2.282,1.502,4.68,0.025,1.076,5.0
MS,2.28,1.077,1.622,0.033,0.973,5.0
RJF,2.279,1.446,1.726,0.018,1.648,5.0
FBC,2.279,1.373,2.853,0.004,1.15,5.0
XRX,2.279,1.665,3.884,0.028,1.53,5.0
MTB,2.273,1.067,0.804,0.025,1.408,5.0
DHIL,2.268,1.326,0.618,0.065,2.429,5.0
UHAL,2.264,1.119,0.499,0.005,2.022,5.0
EFC,2.264,1.324,7.384,0.092,0.716,5.0
CTBI,2.264,1.488,3.694,0.033,1.296,5.0
CCNE,2.261,1.731,5.363,0.022,1.567,5.0
GWB,2.26,1.207,3.612,0.038,0.879,5.0
UAL,2.257,1.324,0.958,0.069,2.057,5.0
AJX,2.257,1.33,6.0,0.088,0.832,5.0
ITIC,2.257,1.106,0.836,0.059,1.593,5.0
SNV,2.253,1.415,3.916,0.029,1.188,5.0
RNST,2.253,1.34,4.813,0.025,0.96,5.0
PMT,2.252,1.106,4.109,0.078,0.734,5.0
FISI,2.247,1.408,4.236,0.031,1.167,5.0
TSE,2.235,1.588,2.237,0.044,2.233,5.0
EGBN,2.235,1.236,2.388,0.015,1.277,5.0
HFC,2.235,1.218,1.719,0.026,1.466,5.0
BUSE,2.234,1.586,7.849,0.031,1.194,5.0
CFFI,2.232,1.095,1.941,0.027,1.16,5.0
RNR,2.232,1.214,2.047,0.007,1.353,5.0
PLBC,2.232,1.466,3.185,0.018,1.587,5.0
EVBN,2.22,1.325,3.43,0.026,1.313,5.0
ASB,2.22,1.182,5.048,0.033,0.874,5.0
WFC,2.217,1.162,2.364,0.035,1.259,5.0
